taxonID	parentNameUsageID	acceptedNameUsageID	taxonRank	scientificName	isExtinct	isMarine	isTerrestrial	isFreshwater
10532	10512		Family	Scoliotropidaceae				
10533	10512		Family	Sellaphoraceae		1		
10534	10512		Suborder	Sellaphorineae		1		
10535	10512		Family	Stauroneidaceae		1		
10536	10493		Order	Rhopalodiales		1		
10537	10536		Family	Epithemiaceae				
10538	10536		Family	Rhopalodiaceae		1		
10539	10493		Order	Surirellales		1		
10540	10539		Family	Auriculaceae		1		
10541	10539		Family	Entomoneidaceae		1		
10542	10539		Family	Surirellaceae		1		
10543	10493		Order	Thalassiophysales		1		
10544	10543		Family	Catenulaceae		1		
10545	10543		Family	Thalassiophysaceae		1		
10546	10492		Order	Rhaponeidales		1		
10547	10546		Family	Psammodiscaceae		1		
10548	10546		Family	Rhaphoneidaceae		1		
10549	10492		Superorder	Eunotiophycanae				
10550	10549		Order	Eunotiales		1		
10551	10550		Family	Eunotiaceae		1		
10552	10550		Family	Peroniaceae				
10553	1045		Order	Centrales				
10554	1045		Subclass	Coscinodiscophycidae		1		
1049		10554	Class	Coscinodiscophyceae		1		
10555	10554		Superorder	Biddulphianae				
10556		10555	Subclass	Biddulphiophycidae		1		
10557	10555		Order	Anaulales		1		
10558	10557		Family	Anaulaceae		1		
10559	10555		Order	Biddulphiales		1		
10560	10559		Family	Biddulphiaceae		1		
10561	10555		Order	Hemiaulales		1		
10562	10561		Family	Bellerocheaceae		1		
10563	10561		Family	Hemiaulaceae		1		
10564	10561		Family	Streptothecaceae		1		
10565	10555		Order	Triceratiales		1		
10566		10565	Order	Eupodiscales				
10567	10565		Family	Plagiogrammaceae		1		
10568	10565		Family	Triceratiaceae		1		
10569		10568	Family	Eupodiscaceae				
10570	10554		Superorder	Chaetocerotanae				
10571		10570	Order	Chaetocerotales		1		
10572		10570	Subclass	Chaetocerotophycidae		1		
10573	10570		Order	Chaetocerales				
10574	10570		Family	Acanthocerataceae		1		
